,date,Country, Births per 1000 People, Population,Total Number of Births, Deaths per 1000 People,Total Number of Deaths
50,12/31/00,China,13.975999999999999,1290550765,18036737.491639998,6.66,8595068.094899999
51,12/31/01,China,13.679,1299129752,17770795.877608,6.655,8645708.49956
52,12/31/02,China,13.380999999999998,1307352257,17493680.550917,6.65,8693892.50905
53,12/31/03,China,13.083,1315303521,17208115.965243,6.645,8740191.897045
54,12/31/04,China,13.027999999999999,1323084641,17237146.702947997,6.686,8846143.909726
55,12/31/05,China,12.972999999999999,1330776380,17264161.977739997,6.727,8952132.70826
56,12/31/06,China,12.917,1338408647,17288224.493299,6.767,9057011.314249001
57,12/31/07,China,12.862,1345993888,17312173.387456,6.808,9163526.389504
58,12/31/08,China,12.807,1353569484,17335164.381588,6.849,9270597.395916
59,12/31/09,China,12.787,1361169419,17405273.360753004,6.88,9364845.60272
60,12/31/10,China,12.767000000000001,1368810615,17475605.121705003,6.9110000000000005,9459850.160265
61,12/31/11,China,12.748,1376497639,17547591.901972,6.941,9554270.112298999
62,12/31/12,China,12.728,1384206401,17618179.071928002,6.972,9650687.027772002
63,12/31/13,China,12.708,1391883330,17688053.35764,7.002999999999999,9747358.95999
64,12/31/14,China,12.552,1399453965,17565946.16868,7.027,9833963.012055
65,12/31/15,China,12.397,1406847870,17440693.04439,7.05,9918277.4835
66,12/31/16,China,12.241,1414049351,17309378.105591,7.074,10002985.108973999
67,12/31/17,China,12.085999999999999,1421021791,17174469.366025995,7.097,10084991.650727002
68,12/31/18,China,11.93,1427647786,17031838.08698,7.121,10166279.884106
69,12/31/19,China,11.673,1433783686,16736556.966678,7.261,10410703.344046
