,date,Country, Births per 1000 People, Population,Total Number of Births, Deaths per 1000 People,Total Number of Deaths
24,12/31/74,Russia,15.450999999999999,133032262,2055481.480162,9.589,1275646.360318
25,12/31/75,Russia,15.530999999999999,133804858,2078123.2495979997,9.797,1310886.193826
26,12/31/76,Russia,15.61,134596232,2101047.18152,10.006,1346769.897392
27,12/31/77,Russia,15.69,135413334,2124635.21046,10.214,1383111.793476
28,12/31/78,Russia,15.77,136259824,2148817.42448,10.423,1420236.145552
29,12/31/79,Russia,15.963,137139388,2189156.050644,10.603,1454088.930964
30,12/31/80,Russia,16.157,138053150,2230524.7445500004,10.783,1488627.1164499999
31,12/31/81,Russia,16.35,138993847,2272549.39845,10.963,1523789.5446609997
32,12/31/82,Russia,16.544,139954624,2315409.299456,11.142999999999999,1559514.375232
33,12/31/83,Russia,16.737000000000002,140935780,2358842.1498600002,11.323,1595815.83694
34,12/31/84,Russia,16.625,141938487,2359727.346375,11.279000000000002,1600924.194873
35,12/31/85,Russia,16.512999999999998,142957284,2360653.630692,11.235999999999999,1606268.043024
36,12/31/86,Russia,16.402,143995348,2361811.6978960005,11.192,1611595.934816
37,12/31/87,Russia,16.29,145032888,2362585.74552,11.149000000000001,1616971.668312
38,12/31/88,Russia,16.178,146013488,2362206.208864,11.105,1621479.78424
39,12/31/89,Russia,15.113,146863931,2219554.589203,11.54,1694809.7637399998
40,12/31/90,Russia,14.048,147531561,2072523.3689279999,11.974,1766542.911414
41,12/31/91,Russia,12.982000000000001,147995593,1921278.7883260003,12.409,1836477.3135370002
42,12/31/92,Russia,11.917,148268581,1766916.6797769999,12.843,1904213.385783
43,12/31/93,Russia,10.852,148373580,1610150.0901600001,13.277999999999999,1970104.3952399998
44,12/31/94,Russia,10.464,148349441,1552328.5506240001,13.544,2009244.828904
45,12/31/95,Russia,10.076,148227466,1493539.947416,13.811,2047169.532926
46,12/31/96,Russia,9.687999999999999,148020847,1434025.9657359999,14.077,2083689.463219
47,12/31/97,Russia,9.3,147730019,1373889.1767,14.344000000000001,2119039.3925360003
48,12/31/98,Russia,8.912,147360604,1313277.702848,14.61,2152938.42444
49,12/31/99,Russia,9.092,146915915,1335759.49918,14.894,2188165.6380100003
50,12/31/00,Russia,9.272,146404903,1357466.260616,15.177999999999999,2222133.6177339996
51,12/31/01,Russia,9.451,145830721,1378246.144171,15.463,2254980.438823
52,12/31/02,Russia,9.631,145215700,1398572.4067,15.747,2286711.6279
53,12/31/03,Russia,9.811,144610882,1418777.363302,16.031,2318257.049342
54,12/31/04,Russia,10.133,144080643,1459969.1555189998,15.811,2278059.046473
55,12/31/05,Russia,10.455,143672116,1502091.97278,15.59,2239848.2884400003
56,12/31/06,Russia,10.776,143403256,1545313.486656,15.37,2204108.0447199997
57,12/31/07,Russia,11.097999999999999,143266212,1589968.4207759998,15.149000000000001,2170339.8455880005
58,12/31/08,Russia,11.42,143248764,1635900.8848799998,14.929,2138560.797756
59,12/31/09,Russia,11.732000000000001,143326913,1681511.3433160002,14.620999999999999,2095582.7949729997
60,12/31/10,Russia,12.044,143479274,1728064.376056,14.312999999999999,2053618.8487619997
61,12/31/11,Russia,12.357000000000001,143703025,1775738.2799250002,14.005,2012560.865125
62,12/31/12,Russia,12.669,143993892,1824258.6177480002,13.697000000000001,1972284.3387240001
63,12/31/13,Russia,12.981,144325449,1873488.6534689998,13.389000000000001,1932373.4366610004
64,12/31/14,Russia,12.939,144664841,1871818.377699,13.255,1917532.4674550002
65,12/31/15,Russia,12.897,144985057,1869872.2801289998,13.120999999999999,1902348.9328969999
66,12/31/16,Russia,12.854000000000001,145275383,1867369.7730820002,12.987,1886691.399021
67,12/31/17,Russia,12.812000000000001,145530082,1864531.4105840002,12.853,1870498.143946
68,12/31/18,Russia,12.77,145734038,1861023.66526,12.719000000000001,1853591.2293220002
69,12/31/19,Russia,12.482000000000001,145872256,1820777.4993920003,12.785,1864976.79296
